Most serious violation,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,
Homicide and other related violations,2,1,1,2,2,2,8,13,23,,,,,,,,,,,,
"Assault, level 3, aggravated",5,3,3,9,9,2,9,8,10,,,,,,,,,,,,
"Assault, level 2, weapon or bodily harm",46,66,70,92,103,103,156,215,230,,,,,,,,,,,,
"Assault, level 1",131,137,195,215,233,291,353,429,504,,,,,,,,,,,,
Total robbery,9,10,8,20,18,9,13,20,26,,,,,,,,,,,,
Criminal harassment,55,62,82,93,73,67,119,175,191,,,,,,,,,,,,
Indecent/Harassing communications,21,35,45,40,57,73,121,125,131,,,,,,,,,,,,
Uttering threats,127,155,174,292,260,294,329,424,450,,,,,,,,,,,,
Other violent violations 10,27,18,25,33,43,24,42,65,80,,,,,,,,,,,,
Mischief,523,561,535,936,715,770,997,"1,271","1,361",,,,,,,,,,,,
Hate-motivated mischief relating to property used by identifiable group,89,59,63,74,106,108,155,241,244,,,,,,,,,,,,
Other non-violent violations,39,50,35,62,40,26,67,95,77,,,,,,,,,,,,
Public incitement of hatred,40,49,69,121,77,90,118,102,86,,,,,,,,,,,,
Other Criminal Code,53,63,52,77,78,89,157,158,152,,,,,,,,,,,,
Other violations 11,3,3,2,2,3,3,2,14,11,,,,,,,,,,,,
