Type of motivation,2014,2015,2016,2017,2018,2019,2020,2021,2022
Race or ethnicity,611,641,666,878,793,884,"1,619","1,745","1,950"
Religion,429,469,460,842,657,613,530,886,750
Sexual orientation,155,141,176,204,186,265,258,438,491
Language,12,18,13,23,14,25,37,33,59
Disability,10,8,11,10,9,3,8,16,15
Sex and gender,22,12,24,32,54,56,49,60,89
Age,6,4,5,4,9,8,5,14,7
Other similar factor 10,27,44,35,48,73,58,101,82,98
Unknown motivation,23,25,19,32,22,39,39,81,117
Total police-reported hate crime,"1,295","1,362","1,409","2,073","1,817","1,951","2,646","3,355","3,576"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Footnotes:,,,,,,,,,
1,"Hate crimes refer to criminal offences motivated by bias, prejudice, or hate based on race, national or ethnic origin, language, colour, religion, sex, age, mental or physical disability, sexual orientation or any other similar factor, such as profession or political beliefs. For more information on the concepts, methods and quality of the data contained in this table, consult the statistical data documentation Uniform Crime Reporting Survey - 3302.",,,,,,,,
2,"Data for previous years are available upon request. For further details, contact the Canadian Centre for Justice and Community Safety Statistics at statcan.ccjcss-ccsjsc.statcan@statcan.gc.ca.",,,,,,,,
3,"Over the past two decades, police services across Canada have continued to advance their identification and reporting of hate crime incidents. Changes in reporting practices can have an effect on hate crime statistics. For example, an increase in the number of hate crime incidents reported can be influenced by the introduction of a hate crime awareness campaign.",,,,,,,,
4,"Hate crime, organized crime and cybercrime data from the Uniform Crime Reporting (UCR) Survey are now revised back one year with each annual release. This approach was introduced for the 2019 data release and was applied to the 2018 revised data.",,,,,,,,
5,Hate crime counts from the Uniform Crime Reporting (UCR) Survey include both confirmed and suspected hate crime incidents.,,,,,,,,
6,"Includes data covering 99.7% of the Canadian population. Coverage for each province/territory is as follows: Newfoundland and Labrador (100%), Prince Edward Island (100%), Nova Scotia (100%), New Brunswick (100%), Quebec (99.3%), Ontario (99.6%), Manitoba (99.8%), Saskatchewan (98.8%), Alberta (100%), British Columbia (99.7%), Yukon (100%), Northwest Territories (100%) and Nunavut (100%).These percentages are based on 2022 populations.",,,,,,,,
7,"Excluded from this table are the small number of police services that do not report to the Uniform Crime Reporting Survey (UCR) 2. With the exception of Lasalle Police Service, Kahnawake Mohawk Peacekeepers, Six Nations Police Service and Dalmeny Police Service  in 2017, who provided data through special submission.",,,,,,,,
8,"Under the authority of the Canadian Forces Provost Marshal (CFPM), the Canadian Forces Military Police Group (CF MP Gp) is now reporting incidents to the Uniform Crime Reporting (UCR) Survey. They have provided incidents going back to January 2020.",,,,,,,,
9,"The 2022 counts for some police services in the province of Quebec may be an undercount due to a system upgrade issue that impacted complete reporting for hate crime, cybercrime and firearm-related incidents. Corrections will be applied to the revised 2022 data, planned for release in July 2024.",,,,,,,,
10,"Other similar factor"" includes motivations not otherwise stated above",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"How to cite: Statistics Canada. Table 35-10-0066-01  Police-reported hate crime, by type of motivation, Canada (selected police services)",,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510006601,,,,,,,,,
